Day,Time,Stage,Artist,Genre,ID
Friday,TBD,TBD,ABOVE & BEYOND,Trance,show_friday_above-beyond
Friday,TBD,TBD,ATB,Trance,show_friday_atb
Friday,TBD,TBD,CHRIS LAKE,Tech House,show_friday_chris-lake
Friday,TBD,TBD,CRANKDAT,Dubstep,show_friday_crankdat
Friday,TBD,TBD,EXCISION,Dubstep,show_friday_excision
Friday,TBD,TBD,GANJA WHITE NIGHT,Melodic Dubstep,show_friday_ganja-white-night
Friday,TBD,TBD,IT'S MURPH,Bass House,show_friday_its-murph
Friday,TBD,TBD,JUSTIZ,Electronic,show_friday_justiz
Friday,TBD,TBD,KETTAMA,Tech House,show_friday_kettama
Friday,TBD,TBD,ZINGARA,Astral Bass,show_friday_zingara
Friday,TBD,TBD,DIRTWAVE,Electro-Acoustic,show_friday_dirtwave
Friday,TBD,TBD,EFIN,Dubstep,show_friday_efin
Friday,TBD,TBD,IVY LAB,Halftime D&B,show_friday_ivy-lab
Friday,TBD,TBD,KALEBRA SANDERS,Vocal House,show_friday_kalebra-sanders
Friday,TBD,TBD,MYAGO,Electronic,show_friday_myago
Friday,TBD,TBD,NEOSHAMAN,Psytrance,show_friday_neoshaman
Friday,TBD,TBD,LANGLIE,Electronic,show_friday_langlie
Friday,TBD,TBD,PASHENOVA,Electronic,show_friday_pashenova
Saturday,TBD,TBD,A-TRAK,Open Format,show_saturday_a-trak
Saturday,TBD,TBD,AYRO,Tech House,show_saturday_ayro
Saturday,TBD,TBD,CLOONEE,Tech House,show_saturday_cloonee
Saturday,TBD,TBD,CLOZEE,World Bass,show_saturday_clozee
Saturday,TBD,TBD,HEDEX,Drum & Bass,show_saturday_hedex
Saturday,TBD,TBD,HOLI,Riddim,show_saturday_holi
Saturday,TBD,TBD,LEVEL UP,Dubstep,show_saturday_level-up
Saturday,TBD,TBD,LOUIS THE CHILD,Future Bass,show_saturday_louis-the-child
Saturday,TBD,TBD,TYLAN,Electronic,show_saturday_tylan
Saturday,TBD,TBD,VAMPIRES AT THE TREES,Electronic,show_saturday_vampires-at-the-trees
Saturday,TBD,TBD,RAY VOLPE,Melodic Bass,show_saturday_ray-volpe
Saturday,TBD,TBD,SUBTRONICS,Riddim,show_saturday_subtronics
Saturday,TBD,TBD,SVDDEN DEATH,Riddim,show_saturday_svdden-death
Saturday,TBD,TBD,WESTEND,Tech House,show_saturday_westend
Saturday,TBD,TBD,BROLIN,Electronic,show_saturday_brolin
Saturday,TBD,TBD,PRIYA RAGU,R&B / Soul,show_saturday_priya-ragu
Saturday,TBD,TBD,STEFF DA CAMPO,Bass House,show_saturday_steff-da-campo
Saturday,TBD,TBD,BOBBY LIMA,Tech House,show_saturday_bobby-lima
Saturday,TBD,TBD,SIPPY,Heavy Bass,show_saturday_sippy
Saturday,TBD,TBD,HANA,Synth Pop,show_saturday_hana
Saturday,TBD,TBD,MARC HERZ,Drum & Bass,show_saturday_marc-herz
Saturday,TBD,TBD,PATCHY,Electronic,show_saturday_patchy
Saturday,TBD,TBD,PAUL PARSONS,House,show_saturday_paul-parsons
Saturday,TBD,TBD,TAYLOR PARK,Electronic,show_saturday_taylor-park
Sunday,TBD,TBD,ACRAZE,Tech House,show_sunday_acraze
Sunday,TBD,TBD,CHARLOTTE DE WITTE,Techno,show_sunday_charlotte-de-witte
Sunday,TBD,TBD,I HATE MODELS,Techno,show_sunday_i-hate-models
Sunday,TBD,TBD,GOLDEN PONY,House,show_sunday_golden-pony
Sunday,TBD,TBD,PORTER ROBINSON,Melodic Electronic,show_sunday_porter-robinson
Sunday,TBD,TBD,SNOW GOOD,Hip-Hop,show_sunday_snow-good
Sunday,TBD,TBD,JACKIE HOLLANDER,Electronic,show_sunday_jackie-hollander
